期号,日期,红球,蓝球,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,red_sum,red_span,red_odd_count,red_even_count,blue_sum,blue_span,blue_odd_count,blue_even_count,red_zone1_count,red_zone2_count,red_zone3_count,blue_big_count,blue_small_count
12016,2012-02-13,"05,14,20,29,31","08,12",5,14,20,29,31,8,12,99,26,3,2,20,4,0,2,1,2,2,2,0
12017,2012-02-15,"06,11,22,29,34","03,12",6,11,22,29,34,3,12,102,28,2,3,15,9,1,1,2,1,2,1,1
12018,2012-02-18,"03,10,14,29,31","04,08",3,10,14,29,31,4,8,87,28,3,2,12,4,0,2,2,1,2,1,1
12019,2012-02-20,"07,09,17,30,34","01,12",7,9,17,30,34,1,12,97,27,3,2,13,11,1,1,2,1,2,1,1
12020,2012-02-22,"12,14,27,29,34","03,06",12,14,27,29,34,3,6,116,22,2,3,9,3,1,1,1,1,3,0,2
12021,2012-02-25,"10,15,21,31,34","07,08",10,15,21,31,34,7,8,111,24,3,2,15,1,1,1,1,2,2,2,0
12022,2012-02-27,"07,12,20,33,35","01,10",7,12,20,33,35,1,10,107,28,3,2,11,9,1,1,2,1,2,1,1
12023,2012-02-29,"07,09,17,29,35","09,10",7,9,17,29,35,9,10,97,28,5,0,19,1,1,1,2,1,2,2,0
12024,2012-03-03,"03,11,17,21,30","03,07",3,11,17,21,30,3,7,82,27,4,1,10,4,2,0,2,2,1,1,1
12025,2012-03-05,"01,02,05,12,27","04,07",1,2,5,12,27,4,7,47,26,3,2,11,3,1,1,4,0,1,1,1
12026,2012-03-07,"10,11,22,23,29","02,09",10,11,22,23,29,2,9,95,19,3,2,11,7,1,1,2,2,1,1,1
12027,2012-03-10,"03,10,11,22,31","05,07",3,10,11,22,31,5,7,77,28,3,2,12,2,2,0,3,1,1,1,1
12028,2012-03-12,"10,12,15,33,34","03,10",10,12,15,33,34,3,10,104,24,2,3,13,7,1,1,2,1,2,1,1
12029,2012-03-14,"04,07,08,18,29","07,10",4,7,8,18,29,7,10,66,25,2,3,17,3,1,1,3,1,1,2,0
12030,2012-03-17,"03,21,22,26,32","01,03",3,21,22,26,32,1,3,104,29,2,3,4,2,2,0,1,2,2,0,2
12031,2012-03-19,"19,21,23,25,30","03,08",19,21,23,25,30,3,8,118,11,4,1,11,5,1,1,0,3,2,1,1
12032,2012-03-21,"07,08,16,26,34","07,11",7,8,16,26,34,7,11,91,27,1,4,18,4,2,0,2,1,2,2,0
12033,2012-03-24,"08,13,19,27,32","01,08",8,13,19,27,32,1,8,99,24,3,2,9,7,1,1,1,2,2,1,1
12034,2012-03-26,"01,08,15,16,29","08,09",1,8,15,16,29,8,9,69,28,3,2,17,1,1,1,2,2,1,2,0
12035,2012-03-28,"01,04,30,32,35","08,12",1,4,30,32,35,8,12,102,34,2,3,20,4,0,2,2,0,3,2,0
12036,2012-03-31,"01,09,20,30,31","08,12",1,9,20,30,31,8,12,91,30,3,2,20,4,0,2,2,1,2,2,0
12037,2012-04-02,"09,13,27,31,35","03,10",9,13,27,31,35,3,10,115,26,5,0,13,7,1,1,1,1,3,1,1
12038,2012-04-04,"11,23,25,31,35","01,03",11,23,25,31,35,1,3,125,24,5,0,4,2,2,0,1,1,3,0,2
12039,2012-04-07,"15,21,22,24,35","01,05",15,21,22,24,35,1,5,117,20,3,2,6,4,2,0,0,4,1,0,2
12040,2012-04-09,"02,13,23,28,29","01,05",2,13,23,28,29,1,5,95,27,3,2,6,4,2,0,1,2,2,0,2
12041,2012-04-11,"01,02,13,22,23","02,10",1,2,13,22,23,2,10,61,22,3,2,12,8,0,2,2,3,0,1,1
12042,2012-04-14,"07,24,27,28,35","07,12",7,24,27,28,35,7,12,121,28,3,2,19,5,1,1,1,1,3,2,0
12043,2012-04-16,"01,06,25,31,34","03,09",1,6,25,31,34,3,9,97,33,3,2,12,6,2,0,2,0,3,1,1
12044,2012-04-18,"03,04,14,32,35","01,02",3,4,14,32,35,1,2,88,32,2,3,3,1,1,1,2,1,2,0,2
12045,2012-04-21,"05,11,17,20,28","11,12",5,11,17,20,28,11,12,81,23,3,2,23,1,1,1,2,2,1,2,0
12046,2012-04-23,"04,08,19,23,27","04,11",4,8,19,23,27,4,11,81,23,3,2,15,7,1,1,2,2,1,1,1
12047,2012-04-25,"05,07,17,30,34","03,10",5,7,17,30,34,3,10,93,29,3,2,13,7,1,1,2,1,2,1,1
12048,2012-04-28,"06,09,26,30,35","05,06",6,9,26,30,35,5,6,106,29,2,3,11,1,1,1,2,0,3,0,2
12049,2012-04-30,"09,18,22,27,31","10,12",9,18,22,27,31,10,12,107,22,3,2,22,2,0,2,1,2,2,2,0
12050,2012-05-02,"13,17,22,28,29","01,10",13,17,22,28,29,1,10,109,16,3,2,11,9,1,1,0,3,2,1,1
12051,2012-05-05,"01,02,17,18,33","05,12",1,2,17,18,33,5,12,71,32,3,2,17,7,1,1,2,2,1,1,1
12052,2012-05-07,"10,20,26,31,33","10,12",10,20,26,31,33,10,12,120,23,2,3,22,2,0,2,1,1,3,2,0
12053,2012-05-09,"11,12,26,28,31","07,12",11,12,26,28,31,7,12,108,20,2,3,19,5,1,1,2,0,3,2,0
12054,2012-05-12,"01,16,18,27,30","10,11",1,16,18,27,30,10,11,92,29,2,3,21,1,1,1,1,2,2,2,0
12055,2012-05-14,"07,22,26,32,33","01,08",7,22,26,32,33,1,8,120,26,2,3,9,7,1,1,1,1,3,1,1
12056,2012-05-16,"11,21,23,26,34","07,09",11,21,23,26,34,7,9,115,23,3,2,16,2,2,0,1,2,2,2,0
12057,2012-05-19,"01,02,14,33,34","03,05",1,2,14,33,34,3,5,84,33,2,3,8,2,2,0,2,1,2,0,2
12058,2012-05-21,"13,21,29,31,35","04,12",13,21,29,31,35,4,12,129,22,5,0,16,8,0,2,0,2,3,1,1
12059,2012-05-23,"09,13,19,21,27","03,04",9,13,19,21,27,3,4,89,18,5,0,7,1,1,1,1,3,1,0,2
12060,2012-05-26,"02,16,21,24,30","06,10",2,16,21,24,30,6,10,93,28,1,4,16,4,0,2,1,3,1,1,1
12061,2012-05-28,"05,10,14,27,33","07,09",5,10,14,27,33,7,9,89,28,3,2,16,2,2,0,2,1,2,2,0
12062,2012-05-30,"21,32,33,34,35","08,09",21,32,33,34,35,8,9,155,14,3,2,17,1,1,1,0,1,4,2,0
12063,2012-06-02,"11,25,26,29,35","01,02",11,25,26,29,35,1,2,126,24,4,1,3,1,1,1,1,0,4,0,2
12064,2012-06-04,"09,12,13,15,30","09,10",9,12,13,15,30,9,10,79,21,3,2,19,1,1,1,2,2,1,2,0
12065,2012-06-06,"10,22,28,29,34","05,11",10,22,28,29,34,5,11,123,24,1,4,16,6,2,0,1,1,3,1,1
12066,2012-06-09,"01,20,25,29,33","04,06",1,20,25,29,33,4,6,108,32,4,1,10,2,0,2,1,1,3,0,2
12067,2012-06-11,"20,22,27,30,33","01,02",20,22,27,30,33,1,2,132,13,2,3,3,1,1,1,0,2,3,0,2
12068,2012-06-13,"01,21,31,32,35","03,06",1,21,31,32,35,3,6,120,34,4,1,9,3,1,1,1,1,3,0,2
12069,2012-06-16,"02,04,22,25,34","02,11",2,4,22,25,34,2,11,87,32,1,4,13,9,1,1,2,1,2,1,1
12070,2012-06-18,"09,22,23,32,34","06,08",9,22,23,32,34,6,8,120,25,2,3,14,2,0,2,1,2,2,1,1
12071,2012-06-20,"13,23,29,31,34","06,08",13,23,29,31,34,6,8,130,21,4,1,14,2,0,2,0,2,3,1,1
12072,2012-06-23,"04,08,17,22,25","04,10",4,8,17,22,25,4,10,76,21,2,3,14,6,0,2,2,2,1,1,1
12073,2012-06-25,"18,23,29,33,34","02,07",18,23,29,33,34,2,7,137,16,3,2,9,5,1,1,0,2,3,1,1
12074,2012-06-27,"10,22,23,30,32","01,07",10,22,23,30,32,1,7,117,22,1,4,8,6,2,0,1,2,2,1,1
12075,2012-06-30,"07,09,10,18,22","05,10",7,9,10,18,22,5,10,66,15,2,3,15,5,1,1,3,2,0,1,1
12076,2012-07-02,"02,14,16,22,24","02,05",2,14,16,22,24,2,5,78,22,0,5,7,3,1,1,1,4,0,0,2
12077,2012-07-04,"10,30,32,33,34","02,03",10,30,32,33,34,2,3,139,24,1,4,5,1,1,1,1,0,4,0,2
12078,2012-07-07,"01,02,23,25,35","05,12",1,2,23,25,35,5,12,86,34,4,1,17,7,1,1,2,1,2,1,1
12079,2012-07-09,"01,05,25,32,33","01,10",1,5,25,32,33,1,10,96,32,4,1,11,9,1,1,2,0,3,1,1
12080,2012-07-11,"11,12,14,25,28","02,05",11,12,14,25,28,2,5,90,17,2,3,7,3,1,1,2,1,2,0,2
12081,2012-07-14,"10,16,17,30,35","01,08",10,16,17,30,35,1,8,108,25,2,3,9,7,1,1,1,2,2,1,1
12082,2012-07-16,"02,04,09,10,15","08,10",2,4,9,10,15,8,10,40,13,2,3,18,2,0,2,4,1,0,2,0
12083,2012-07-18,"16,19,28,29,31","05,08",16,19,28,29,31,5,8,123,15,3,2,13,3,1,1,0,2,3,1,1
12084,2012-07-21,"21,24,27,29,31","01,02",21,24,27,29,31,1,2,132,10,4,1,3,1,1,1,0,2,3,0,2
12085,2012-07-23,"07,18,29,31,33","10,12",7,18,29,31,33,10,12,118,26,4,1,22,2,0,2,1,1,3,2,0
12086,2012-07-25,"03,20,25,29,32","05,10",3,20,25,29,32,5,10,109,29,3,2,15,5,1,1,1,1,3,1,1
12087,2012-07-28,"01,06,07,21,31","04,11",1,6,7,21,31,4,11,66,30,4,1,15,7,1,1,3,1,1,1,1
12088,2012-07-30,"13,17,24,30,35","02,10",13,17,24,30,35,2,10,119,22,3,2,12,8,0,2,0,3,2,1,1
12089,2012-08-01,"06,12,21,29,32","06,11",6,12,21,29,32,6,11,100,26,2,3,17,5,1,1,2,1,2,1,1
12090,2012-08-04,"02,21,27,29,33","02,10",2,21,27,29,33,2,10,112,31,4,1,12,8,0,2,1,1,3,1,1
12091,2012-08-06,"03,10,28,31,33","01,09",3,10,28,31,33,1,9,105,30,3,2,10,8,2,0,2,0,3,1,1
12092,2012-08-08,"08,09,23,25,31","02,12",8,9,23,25,31,2,12,96,23,4,1,14,10,0,2,2,1,2,1,1
12093,2012-08-11,"02,16,21,31,33","04,11",2,16,21,31,33,4,11,103,31,3,2,15,7,1,1,1,2,2,1,1
12094,2012-08-13,"02,14,23,32,35","01,10",2,14,23,32,35,1,10,106,33,2,3,11,9,1,1,1,2,2,1,1
12095,2012-08-15,"06,09,22,27,30","08,12",6,9,22,27,30,8,12,94,24,2,3,20,4,0,2,2,1,2,2,0
12096,2012-08-18,"05,10,19,24,35","08,09",5,10,19,24,35,8,9,93,30,3,2,17,1,1,1,2,2,1,2,0
12097,2012-08-20,"09,17,24,29,32","01,02",9,17,24,29,32,1,2,111,23,3,2,3,1,1,1,1,2,2,0,2
12098,2012-08-22,"02,11,28,29,30","06,12",2,11,28,29,30,6,12,100,28,2,3,18,6,0,2,2,0,3,1,1
12099,2012-08-25,"12,18,24,25,32","02,12",12,18,24,25,32,2,12,111,20,1,4,14,10,0,2,1,2,2,1,1
12100,2012-08-27,"07,09,13,19,27","01,03",7,9,13,19,27,1,3,75,20,5,0,4,2,2,0,2,2,1,0,2
12101,2012-08-29,"02,05,08,09,31","03,07",2,5,8,9,31,3,7,55,29,3,2,10,4,2,0,4,0,1,1,1
12102,2012-09-01,"02,04,06,13,35","04,08",2,4,6,13,35,4,8,60,33,2,3,12,4,0,2,3,1,1,1,1
12103,2012-09-03,"02,09,18,23,24","01,04",2,9,18,23,24,1,4,76,22,2,3,5,3,1,1,2,3,0,0,2
12104,2012-09-05,"16,18,24,25,27","04,09",16,18,24,25,27,4,9,110,11,2,3,13,5,1,1,0,3,2,1,1
12105,2012-09-08,"05,06,14,15,31","06,08",5,6,14,15,31,6,8,71,26,3,2,14,2,0,2,2,2,1,1,1
12106,2012-09-10,"15,23,25,29,31","09,10",15,23,25,29,31,9,10,123,16,5,0,19,1,1,1,0,2,3,2,0
12107,2012-09-12,"04,07,09,22,33","01,03",4,7,9,22,33,1,3,75,29,3,2,4,2,2,0,3,1,1,0,2
12108,2012-09-15,"06,07,12,24,35","02,06",6,7,12,24,35,2,6,84,29,2,3,8,4,0,2,3,1,1,0,2
12109,2012-09-17,"01,22,30,32,35","09,11",1,22,30,32,35,9,11,120,34,2,3,20,2,2,0,1,1,3,2,0
12110,2012-09-19,"01,11,17,19,26","05,12",1,11,17,19,26,5,12,74,25,4,1,17,7,1,1,2,2,1,1,1
12111,2012-09-22,"01,24,25,30,33","04,11",1,24,25,30,33,4,11,113,32,3,2,15,7,1,1,1,1,3,1,1
12112,2012-09-24,"01,02,28,31,35","05,07",1,2,28,31,35,5,7,97,34,3,2,12,2,2,0,2,0,3,1,1
12113,2012-09-26,"03,10,22,27,29","03,12",3,10,22,27,29,3,12,91,26,3,2,15,9,1,1,2,1,2,1,1
12114,2012-09-29,"03,06,21,33,35","01,07",3,6,21,33,35,1,7,98,32,4,1,8,6,2,0,2,1,2,1,1
12115,2012-10-01,"01,06,13,19,23","06,09",1,6,13,19,23,6,9,62,22,4,1,15,3,1,1,2,3,0,1,1
12116,2012-10-03,"01,11,18,20,22","07,10",1,11,18,20,22,7,10,72,21,2,3,17,3,1,1,2,3,0,2,0
12117,2012-10-06,"01,12,18,21,33","07,08",1,12,18,21,33,7,8,85,32,3,2,15,1,1,1,2,2,1,2,0
12118,2012-10-08,"05,17,25,30,33","01,12",5,17,25,30,33,1,12,110,28,4,1,13,11,1,1,1,1,3,1,1
12119,2012-10-10,"05,06,09,19,32","06,09",5,6,9,19,32,6,9,71,27,3,2,15,3,1,1,3,1,1,1,1
12120,2012-10-13,"02,10,21,23,29","03,04",2,10,21,23,29,3,4,85,27,3,2,7,1,1,1,2,2,1,0,2
12121,2012-10-15,"07,18,20,29,30","05,06",7,18,20,29,30,5,6,104,23,2,3,11,1,1,1,1,2,2,0,2
12122,2012-10-17,"23,24,25,29,31","03,12",23,24,25,29,31,3,12,132,8,4,1,15,9,1,1,0,2,3,1,1
12123,2012-10-20,"05,08,18,30,33","01,09",5,8,18,30,33,1,9,94,28,2,3,10,8,2,0,2,1,2,1,1
12124,2012-10-22,"07,11,19,20,35","05,10",7,11,19,20,35,5,10,92,28,4,1,15,5,1,1,2,2,1,1,1
12125,2012-10-24,"06,14,17,22,35","01,02",6,14,17,22,35,1,2,94,29,2,3,3,1,1,1,1,3,1,0,2
12126,2012-10-27,"13,14,21,28,29","05,10",13,14,21,28,29,5,10,105,16,3,2,15,5,1,1,0,3,2,1,1
12127,2012-10-29,"12,13,14,25,35","10,12",12,13,14,25,35,10,12,99,23,3,2,22,2,0,2,1,2,2,2,0
12128,2012-10-31,"09,10,19,30,31","04,11",9,10,19,30,31,4,11,99,22,3,2,15,7,1,1,2,1,2,1,1
12129,2012-11-03,"01,07,21,28,31","03,09",1,7,21,28,31,3,9,88,30,4,1,12,6,2,0,2,1,2,1,1
12130,2012-11-05,"14,19,23,29,30","06,07",14,19,23,29,30,6,7,115,16,3,2,13,1,1,1,0,3,2,1,1
12131,2012-11-07,"02,16,18,27,30","08,12",2,16,18,27,30,8,12,93,28,1,4,20,4,0,2,1,2,2,2,0
12132,2012-11-10,"05,08,21,25,33","01,11",5,8,21,25,33,1,11,92,28,4,1,12,10,2,0,2,1,2,1,1
12133,2012-11-12,"05,07,13,29,30","01,05",5,7,13,29,30,1,5,84,25,4,1,6,4,2,0,2,1,2,0,2
12134,2012-11-14,"01,06,18,32,35","02,07",1,6,18,32,35,2,7,92,34,2,3,9,5,1,1,2,1,2,1,1
12135,2012-11-17,"03,05,17,18,33","06,07",3,5,17,18,33,6,7,76,30,4,1,13,1,1,1,2,2,1,1,1
12136,2012-11-19,"02,23,29,30,31","01,04",2,23,29,30,31,1,4,115,29,3,2,5,3,1,1,1,1,3,0,2
12137,2012-11-21,"03,12,20,21,27","01,06",3,12,20,21,27,1,6,83,24,3,2,7,5,1,1,2,2,1,0,2
12138,2012-11-24,"13,17,27,31,33","06,12",13,17,27,31,33,6,12,121,20,5,0,18,6,0,2,0,2,3,1,1
12139,2012-11-26,"09,10,12,22,25","04,11",9,10,12,22,25,4,11,78,16,2,3,15,7,1,1,3,1,1,1,1
12140,2012-11-28,"07,17,27,28,29","09,10",7,17,27,28,29,9,10,108,22,4,1,19,1,1,1,1,1,3,2,0
12141,2012-12-01,"03,11,19,23,34","02,12",3,11,19,23,34,2,12,90,31,4,1,14,10,0,2,2,2,1,1,1
12142,2012-12-03,"15,19,29,34,35","07,10",15,19,29,34,35,7,10,132,20,4,1,17,3,1,1,0,2,3,2,0
12143,2012-12-05,"09,27,29,30,31","03,06",9,27,29,30,31,3,6,126,22,4,1,9,3,1,1,1,0,4,0,2
12144,2012-12-08,"11,13,14,21,29","01,10",11,13,14,21,29,1,10,88,18,4,1,11,9,1,1,1,3,1,1,1
12145,2012-12-10,"05,22,31,33,35","06,09",5,22,31,33,35,6,9,126,30,4,1,15,3,1,1,1,1,3,1,1
12146,2012-12-12,"01,10,13,17,26","06,08",1,10,13,17,26,6,8,67,25,3,2,14,2,0,2,2,2,1,1,1
12147,2012-12-15,"02,03,17,19,33","02,09",2,3,17,19,33,2,9,74,31,4,1,11,7,1,1,2,2,1,1,1
12148,2012-12-17,"04,16,27,29,34","06,11",4,16,27,29,34,6,11,110,30,2,3,17,5,1,1,1,1,3,1,1
12149,2012-12-19,"02,10,23,33,34","05,10",2,10,23,33,34,5,10,102,32,2,3,15,5,1,1,2,1,2,1,1
12150,2012-12-22,"02,14,18,24,31","02,03",2,14,18,24,31,2,3,89,29,1,4,5,1,1,1,1,3,1,0,2
12151,2012-12-24,"03,19,20,24,33","03,04",3,19,20,24,33,3,4,99,30,3,2,7,1,1,1,1,3,1,0,2
12152,2012-12-26,"04,17,26,33,34","02,08",4,17,26,33,34,2,8,114,30,2,3,10,6,0,2,1,1,3,1,1
12153,2012-12-29,"08,09,10,13,22","05,10",8,9,10,13,22,5,10,62,14,2,3,15,5,1,1,3,2,0,1,1
12154,2012-12-31,"03,26,27,31,32","03,09",3,26,27,31,32,3,9,119,29,3,2,12,6,2,0,1,0,4,1,1
13001,2013-01-02,"06,09,11,31,32","05,11",6,9,11,31,32,5,11,89,26,3,2,16,6,2,0,3,0,2,1,1
13002,2013-01-05,"04,20,27,31,32","06,12",4,20,27,31,32,6,12,114,28,2,3,18,6,0,2,1,1,3,1,1
13003,2013-01-07,"01,16,18,21,31","09,12",1,16,18,21,31,9,12,87,30,3,2,21,3,1,1,1,3,1,2,0
13004,2013-01-09,"07,08,12,20,25","03,07",7,8,12,20,25,3,7,72,18,2,3,10,4,2,0,3,1,1,1,1
13005,2013-01-12,"18,22,26,28,31","10,12",18,22,26,28,31,10,12,125,13,1,4,22,2,0,2,0,2,3,2,0
13006,2013-01-14,"08,20,25,31,32","05,07",8,20,25,31,32,5,7,116,24,2,3,12,2,2,0,1,1,3,1,1
13007,2013-01-16,"14,29,32,33,34","03,06",14,29,32,33,34,3,6,142,20,2,3,9,3,1,1,0,1,4,0,2
13008,2013-01-19,"02,07,25,29,34","03,06",2,7,25,29,34,3,6,97,32,3,2,9,3,1,1,2,0,3,0,2
13009,2013-01-21,"10,17,19,27,29","05,12",10,17,19,27,29,5,12,102,19,4,1,17,7,1,1,1,2,2,1,1
13010,2013-01-23,"09,15,17,18,29","09,11",9,15,17,18,29,9,11,88,20,4,1,20,2,2,0,1,3,1,2,0
13011,2013-01-26,"01,02,08,15,23","06,09",1,2,8,15,23,6,9,49,22,3,2,15,3,1,1,3,2,0,1,1
13012,2013-01-28,"01,14,31,32,34","02,11",1,14,31,32,34,2,11,112,33,2,3,13,9,1,1,1,1,3,1,1
13013,2013-01-30,"13,15,29,30,35","01,11",13,15,29,30,35,1,11,122,22,4,1,12,10,2,0,0,2,3,1,1
13014,2013-02-02,"05,08,25,29,31","02,04",5,8,25,29,31,2,4,98,26,4,1,6,2,0,2,2,0,3,0,2
13015,2013-02-04,"14,15,26,32,33","01,11",14,15,26,32,33,1,11,120,19,2,3,12,10,2,0,0,2,3,1,1
13016,2013-02-06,"05,15,19,27,32","08,09",5,15,19,27,32,8,9,98,27,4,1,17,1,1,1,1,2,2,2,0
13017,2013-02-16,"11,14,22,29,34","05,11",11,14,22,29,34,5,11,110,23,2,3,16,6,2,0,1,2,2,1,1
13018,2013-02-18,"20,23,31,33,34","03,09",20,23,31,33,34,3,9,141,14,3,2,12,6,2,0,0,2,3,1,1
13019,2013-02-20,"06,12,17,29,30","07,11",6,12,17,29,30,7,11,94,24,2,3,18,4,2,0,2,1,2,2,0
13020,2013-02-23,"06,11,20,31,32","05,09",6,11,20,31,32,5,9,100,26,2,3,14,4,2,0,2,1,2,1,1
13021,2013-02-25,"23,24,28,30,33","01,11",23,24,28,30,33,1,11,138,10,2,3,12,10,2,0,0,2,3,1,1
13022,2013-02-27,"03,04,13,17,23","03,08",3,4,13,17,23,3,8,60,20,4,1,11,5,1,1,2,3,0,1,1
13023,2013-03-02,"05,19,24,26,35","05,07",5,19,24,26,35,5,7,109,30,3,2,12,2,2,0,1,2,2,1,1
13024,2013-03-04,"09,12,14,18,24","01,04",9,12,14,18,24,1,4,77,15,1,4,5,3,1,1,2,3,0,0,2
13025,2013-03-06,"03,23,25,26,28","10,12",3,23,25,26,28,10,12,105,25,3,2,22,2,0,2,1,1,3,2,0
13026,2013-03-09,"02,10,16,30,33","05,06",2,10,16,30,33,5,6,91,31,1,4,11,1,1,1,2,1,2,0,2
13027,2013-03-11,"03,12,14,24,35","03,08",3,12,14,24,35,3,8,88,32,2,3,11,5,1,1,2,2,1,1,1
13028,2013-03-13,"13,19,28,30,34","08,12",13,19,28,30,34,8,12,124,21,2,3,20,4,0,2,0,2,3,2,0
13029,2013-03-16,"05,07,17,25,26","04,10",5,7,17,25,26,4,10,80,21,4,1,14,6,0,2,2,1,2,1,1
13030,2013-03-18,"03,05,09,10,28","05,07",3,5,9,10,28,5,7,55,25,3,2,12,2,2,0,4,0,1,1,1
13031,2013-03-20,"12,17,18,26,32","10,11",12,17,18,26,32,10,11,105,20,1,4,21,1,1,1,1,2,2,2,0
13032,2013-03-23,"12,27,28,33,35","01,08",12,27,28,33,35,1,8,135,23,3,2,9,7,1,1,1,0,4,1,1
13033,2013-03-25,"12,18,22,28,31","01,11",12,18,22,28,31,1,11,111,19,1,4,12,10,2,0,1,2,2,1,1
13034,2013-03-27,"01,03,11,19,29","04,08",1,3,11,19,29,4,8,63,28,5,0,12,4,0,2,3,1,1,1,1
13035,2013-03-30,"05,14,28,32,34","07,08",5,14,28,32,34,7,8,113,29,1,4,15,1,1,1,1,1,3,2,0
13036,2013-04-01,"08,12,32,33,35","03,05",8,12,32,33,35,3,5,120,27,2,3,8,2,2,0,2,0,3,0,2
13037,2013-04-03,"02,26,31,32,34","06,08",2,26,31,32,34,6,8,125,32,1,4,14,2,0,2,1,0,4,1,1
13038,2013-04-06,"01,19,24,25,26","07,09",1,19,24,25,26,7,9,95,25,3,2,16,2,2,0,1,2,2,2,0
13039,2013-04-08,"06,23,30,33,35","07,10",6,23,30,33,35,7,10,127,29,3,2,17,3,1,1,1,1,3,2,0
13040,2013-04-10,"16,17,22,26,35","03,10",16,17,22,26,35,3,10,116,19,2,3,13,7,1,1,0,3,2,1,1
13041,2013-04-13,"03,13,14,15,34","05,08",3,13,14,15,34,5,8,79,31,3,2,13,3,1,1,1,3,1,1,1
13042,2013-04-15,"02,06,22,23,33","01,06",2,6,22,23,33,1,6,86,31,2,3,7,5,1,1,2,2,1,0,2
13043,2013-04-17,"07,13,25,34,35","07,09",7,13,25,34,35,7,9,114,28,4,1,16,2,2,0,1,1,3,2,0
13044,2013-04-20,"07,11,13,18,28","05,10",7,11,13,18,28,5,10,77,21,3,2,15,5,1,1,2,2,1,1,1
13045,2013-04-22,"08,11,12,21,25","02,07",8,11,12,21,25,2,7,77,17,3,2,9,5,1,1,3,1,1,1,1
13046,2013-04-24,"15,16,19,25,32","05,11",15,16,19,25,32,5,11,107,17,3,2,16,6,2,0,0,3,2,1,1
13047,2013-04-27,"12,20,28,30,35","03,11",12,20,28,30,35,3,11,125,23,1,4,14,8,2,0,1,1,3,1,1
13048,2013-04-29,"10,11,23,32,33","01,04",10,11,23,32,33,1,4,109,23,3,2,5,3,1,1,2,1,2,0,2
13049,2013-05-01,"18,22,25,31,32","04,06",18,22,25,31,32,4,6,128,14,2,3,10,2,0,2,0,2,3,0,2
13050,2013-05-04,"14,22,30,32,33","07,08",14,22,30,32,33,7,8,131,19,1,4,15,1,1,1,0,2,3,2,0
13051,2013-05-06,"05,08,15,18,33","07,08",5,8,15,18,33,7,8,79,28,3,2,15,1,1,1,2,2,1,2,0
13052,2013-05-08,"01,02,10,29,31","01,10",1,2,10,29,31,1,10,73,30,3,2,11,9,1,1,3,0,2,1,1
13053,2013-05-11,"13,31,33,34,35","05,07",13,31,33,34,35,5,7,146,22,4,1,12,2,2,0,0,1,4,1,1
13054,2013-05-13,"05,08,21,30,32","01,08",5,8,21,30,32,1,8,96,27,2,3,9,7,1,1,2,1,2,1,1
13055,2013-05-15,"04,05,22,23,24","03,09",4,5,22,23,24,3,9,78,20,2,3,12,6,2,0,2,3,0,1,1
13056,2013-05-18,"11,22,30,32,35","03,04",11,22,30,32,35,3,4,130,24,2,3,7,1,1,1,1,1,3,0,2
13057,2013-05-20,"07,15,27,33,35","07,10",7,15,27,33,35,7,10,117,28,5,0,17,3,1,1,1,1,3,2,0
13058,2013-05-22,"20,21,27,31,35","07,11",20,21,27,31,35,7,11,134,15,4,1,18,4,2,0,0,2,3,2,0
13059,2013-05-25,"03,08,11,24,27","07,12",3,8,11,24,27,7,12,73,24,3,2,19,5,1,1,3,1,1,2,0
13060,2013-05-27,"15,25,26,32,35","05,10",15,25,26,32,35,5,10,133,20,3,2,15,5,1,1,0,1,4,1,1
13061,2013-05-29,"01,14,18,21,32","05,10",1,14,18,21,32,5,10,86,31,2,3,15,5,1,1,1,3,1,1,1
13062,2013-06-01,"01,05,08,09,12","09,12",1,5,8,9,12,9,12,35,11,3,2,21,3,1,1,5,0,0,2,0
13063,2013-06-03,"03,05,11,27,28","05,06",3,5,11,27,28,5,6,74,25,4,1,11,1,1,1,3,0,2,0,2
13064,2013-06-05,"21,24,26,28,32","01,03",21,24,26,28,32,1,3,131,11,1,4,4,2,2,0,0,2,3,0,2
13065,2013-06-08,"09,28,31,34,35","02,09",9,28,31,34,35,2,9,137,26,3,2,11,7,1,1,1,0,4,1,1
13066,2013-06-10,"06,07,13,33,34","02,11",6,7,13,33,34,2,11,93,28,3,2,13,9,1,1,2,1,2,1,1
13067,2013-06-12,"02,03,05,08,29","10,12",2,3,5,8,29,10,12,47,27,3,2,22,2,0,2,4,0,1,2,0
13068,2013-06-15,"10,17,27,34,35","05,07",10,17,27,34,35,5,7,123,25,3,2,12,2,2,0,1,1,3,1,1
13069,2013-06-17,"06,12,13,16,30","07,12",6,12,13,16,30,7,12,77,24,1,4,19,5,1,1,2,2,1,2,0
13070,2013-06-19,"09,12,18,21,29","01,08",9,12,18,21,29,1,8,89,20,3,2,9,7,1,1,2,2,1,1,1
13071,2013-06-22,"13,19,26,27,28","03,11",13,19,26,27,28,3,11,113,15,3,2,14,8,2,0,0,2,3,1,1
13072,2013-06-24,"12,27,28,33,35","03,05",12,27,28,33,35,3,5,135,23,3,2,8,2,2,0,1,0,4,0,2
13073,2013-06-26,"03,05,23,27,31","02,06",3,5,23,27,31,2,6,89,28,5,0,8,4,0,2,2,1,2,0,2
13074,2013-06-29,"06,14,20,24,32","01,07",6,14,20,24,32,1,7,96,26,0,5,8,6,2,0,1,3,1,1,1
